title,tag
JUST IN TODAY: Trey Gowdy Is The NEW DIRECTOR Of The FBI!,0
BREAKING: Hilary Clinton Filed For Divorce In New York Courts!,0
Frequently Asked Questions,0
"South African firm ordered to lay off 3,389 white employees",0
Pope says that the rights of Muslim migrants trump any safety concerns that you might have with them in your country,0
A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her,0
IT BEGINS: California Appoints FIRST Illegal Alien to State Office – Trump Has Better Plan,0
Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book,0
"I’ll Make Sure you are Jailed- Donald Trump Tells Ghana’s Prez Mahama ⋆ Ghana Home, Ghana News, Politics, Info, News on Ghana, Ghana",0
JUST IN: 45 States Just Banned Sharia Law. Do You Support This? – ChristmasGifts,0
President Trump Just Saved Christmas For 13 Million Retirees,0
CONFIRMED ! JUSTICE RUTH BADER GINSBURG IS RESIGNING FROM THE POST OF ASSOCIATE JUSTICE OF THE SUPREME COURT,0
FBI RAIDS OBAMA – Find Massive Secret That Was Hidden For YEARS,0
Fox News accidentally puts up a poll graphic that shows how they are the least trusted network,0
'The Daily Show's' Michelle Wolf Lands Her Own Netflix Late-Night Show (Exclusive),0
"Russian source behind Trump dossier killed in Russian plane crash, Rosatom CFO also dead. : conspiracy",0
Family's private investigator: There is evidence Seth Rich had contact with WikiLeaks prior to death,0
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,0
USDA approves slaughterhouses producing horse meat for human consumption,0
Delta Force Raids Obama Stronghold in Thailand,0
 accessed Aug 11,0
Bowe Bergdahl wanders off during court-martial — Duffel Blog,0
Iranian Official Drops Bombshell: Obama Secretly Gave Citizenship to 2500 Iranians as Part of Nuke Deal,0
"ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’",0
BREAKING: Supreme Court Sides With Trump–This Changes Everything!,0
"BREAKING: Barron Trump Rushed To The Hospital, Hospital Releases Statement On His Condition",0
International Arrest Warrant Issued for George Soros,0
George H.W. Bush has died at 94 – New York,0
Keanu on Trump travel ban: 'just terrible',0
 Wake Up America,0
Account Suspended,0
Police Discover Meth Lab In Back Room of Alabama Walmart,0
Florida passes bill legalizing recreational use of marijuana,0
Twitter Caught Leaking Donald Trump's Private Messages in Undercover Sting,0
Senate Report Admits Clinton ‘Gifted’ Children To Human Traffickers,0
Rubio: “Rape Victims Should Be In Custody If There Is Suspicion That They’re Planning Abortion”,0
Radical Muslims in Australia OFFENDED That Their Children Have to Sing the National Anthem,0
Rep. Paul Gosar Asks Capitol Police to Arrest Illegal Immigrants Attending State of the Union,0
WORSE THAN HITLER! Trey Gowdy’s Son Found In A Dumpster In DC! Murders Are Being Questioned!,0
"Donald Trump Protester Speaks Out: “I Was Paid $3,500 To Protest Trump’s Rally”",0
BREAKING: 3 Liberal Celebrities Arrested For Conspiracy To Assassinate President Trump,0
"Singer Dolly Parton: “Trump In One Year Is Already Better Than 16 Years’ of Bush, Obama ‘Put Together’, This Stupid Liberals Doing Everything To Impeach Him But We Standing With Trump now And Forever.",0
BUSTED: Russian Mansions Obama Seized Were Meant To Be Illegal Gifts To Sasha And Malia,0
Who is affected by the government shutdown?,0
Lindsey Graham Threatens To Convert To Democrat If Republicans Don’t Dump Trump – True Trumpers,0
ELECTORAL COLLEGE ELECTOR COMMITS SUICIDE TO AVOID VOTING FOR DONALD TRUMP,0
Sarah Palin Calls To Boycott Mall Of America Because “Santa Was Always White In The Bible”,0
Account Suspended,0
CQ Transcriptswire > Login,1
Morgan Griffith says EPA treats milk spills same way as oil spills,1
CQ Vote Studies,1
GDP and the Economy Final Estimates for the Third Quarter of 2007,1
Transcript of Wednesday's presidential debate,1
Obama Exclusive Concedes Senate Voteainst Raising Debt Limit Was Political,1
The page you're looking for may have been moved or renamed,1
‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,1
Sen. Barack Obama's answer to meeting energy demands,1
Statement by the President,1
"'This Week' Transcript: Hoyer, Boehner and Bill Gates",1
Arizona Department of Public Safety,1
Sen. Gregg: President Obama's Budget Proposal Is a 'Disaster',1
School Choice FAQ,1
"Data on Campaign Finance, Super PACs, Industries, and Lobbying",1
"Department of Homeland Security Appropriations Act, 2007 (2006; 109th Congress H.R. 5441)",1
Poor and the nearpoor 1959 to 2006,1
Cain said food stamp program use up under Obama,1
Testimony on CBO’s Assessment of the Air Force’s Plan to Acquire 100 Boeing Tanker Aircraft,1
Fox News Sunday,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Illinois General Assembly,1
Health Insurance Coverage in the United States 2015,1
Top Picks (Most Requested Statistics) : U.S. Bureau of Labor Statistics,1
The Republican Road to Recovery,1
Democratic National Convention,1
60 Minutes Transcript,1
Bureau of Labor Statistics Data,1
The Texas Unmiracle,1
Indictment US v Vince McMahon and Titan Sports New Haven Register,1
Barack Obama Challenges John McCain To Duel Over Taxes,1
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,1
LexisNexis(R) Publisher,1
The Des Moines Register,1
The Gingrich Tragedy,1
Obama Criticizes McCain on Lobbyists,1
Cravaack Passes Amendment to Improve US Aviation Security in Opposition to Obamas Planned Disarming of Federal Flight Deck Officers,1
Barack Obama says U.S. oil production last year was highest since 2003,1
TG-162: Treasury Announces $68 Billion in Expected CPP Repayments,1
"Current-Law Distribution of Federal Taxes By Cash Income Percentiles, 2007",1
Part I: CNN/YouTube Democratic presidential debate transcript,1
"Table of Known Nuclear Tests Worldwide, 1945-1996",1
Remarks by the President at GOP House Issues Conference,1
"Hillary Rodham Clinton, Senator for New York: Floor Speech of Senator Hillary Rodham Clinton on S.J. Res. 45, A Resolution to Authorize the Use of United States Armed Forces Against Iraq",1
TPMtv Extra: South Carolina Ronald Reagan Debate,1
a director of research for the foreign policy program at the Brookings Institution,1
Massachusetts Department of Elementary and Secondary Education,1
Expanding Opportunity — #KempForum16 – Paul Ryan – Medium,1
Country of Origin Labeling (COOL),1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Mike Huckabee: Fried Squirrel Out of a Popcorn Popper,1
Transcript of Wednesday's presidential debate,1
"McConnell, Webb, Jindal express uncertainty over Iran nuclear deal",1
"Remarks by the President on Comprehensive Immigration Reform in El Paso, Texas",1
Kerry-McCain: Welcome To Massachusetts!,1
"Obama Urges Bernanke, Paulson to Fight Foreclosures, Hold Homeownership Summit",1
Schneiderman suing Trump over DACA cites 'discriminatory animus',1
Americas 5 Best Governors,1
Situation Syria Regional Refugee Response,1
Transcript of Republican Presidential debate at the Ronald Reagan Library in Simi Valley,1
"Sec. John Kelly on Manchester investigation, keeping America safe",1
John McCain for President,1
alert to members on abortion coverage in the House health care bill,1
Terror Suspects Are Buying Guns - and the FBI Can't Stop Them,1
Organizing for Action,1
"Hannity says Obama won't even use the term ""war on terrorism""",1
a professor of American Studies at Lynn University,1
transcript accessed via Nexis Mitt Romney Sends Taped Message to 2011 NRA Convention,1
An Open Letter to 'All Barack Channel',1
"Obama for America TV Ad: ""Firms""",1
roll call on Stupak amendment,1
Pastors To Protest IRS Rules on Political Advocacy,1
"Mitch McConnell, Alison Lundergan Grimes Have 'Sharp Differences' on Campaign Finance Rules",1
by Mark Halperin,1
"Ryan's plan includes $700 billion in Medicare ""cuts,"" says Stephanie Cutter",1
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,1
Table B46 Employees on nonagricultural payrolls by major industry 19552006,1
Jim DeMint on Twitter,1
"Fed Up! Our Fight to Save America from Washington, by Rick Perry",1
Obama’s Health Care Speech to Congress,1
Press release Rep Barton Democrats stimulus will waste money abuse people and lead to unintended consequences,1
Summing Summertime: Part 4,1
Laura Ingraham wrongly says claim that 90% support for gun background checks has been debunked,1
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",1
Federal Election Commission filing,1
Transcript of debate between Chris Coons and Christine ODonnell,1
Transcripts,1
Barack Obama says Mitt Romney condemned coal-fired power plants as killers,1
The full transcript of the third presidential debate,1
Poverty 2005 Highlights,1
Food Standards and Labeling Policy Book,1
'This Week' Transcript: Geithner,1
Transcripts,1
"Nancy Pelosi, Wicked Witch of the West",1
or Degrading Treatment of Punishment Text of International Covenant on Civil and Political Rights Text of Geneva Convention relative to the Treatment of Prisoners of War Text of Geneva Convention relative to the Protection of Civilian Persons in Time of War Text of Universal Declaration of Human Rights Jay Bybee assistant attorney general,1
Warren Buffett says the super-rich pay lower tax rates than others,1
U.S. Senate: U.S. Senate Roll Call Votes 108th Congress,1
Jeb Bush 2016 Same Resume Right to Rise USA PAC,1
"In Weekly Republican Address, Boehner Calls For “New Way Forward” Focused on Creating Jobs, Cutting Spending, & Reforming Congress",1
U.S. Senate: U.S. Senate Roll Call Votes 111th Congress,1
Harry Reid,1
Video Interview with Howard Dean,1
The Democratic Debate in Cleveland,1
Obama knows his way around a ballot -- chicagotribune.com,1
speech on the floor of the US House of Representatives,1
"Everything you need to know about the drone debate, in one FAQ",1
WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia,1
Web Ad A Tale of Two Mitts,1
Romney CPAC Speech: It's All About the Jobs,1
Patient Protection and Affordable Care Act,1
AFP: McCain renews attacks on Obama links to radical,1
Patient Protection and Affordable Care Act,1
Sarah Palin on Twitter,1
"No Regrets for a Love Of Explosives; In a Memoir of Sorts, a War Protester Talks of Life With the Weathermen",1
"Bill Clinton on Rush Limbaugh, His Mistakes, the Supreme Court and Middle East Peace",1
Rick Santorum sworn in as Pennsylvania’s newest senator,1
"Letter to the Honorable John Boehner providing an estimate for H.R. 6079, the Repeal of Obamacare Act",1
Financial Rescue Nears GDP as Pledges Top 128 Trillion by Mark Pittman and Bob Ivry,1
Transcript: NPR's Full Interview With Sen. Marco Rubio,1
Gore looking to turn idle fans into activists 3year ad campaign will feature enemies united on climate,1
The early catastrophe,1
NPC Luncheon with Eric Holder,1
"""Face the Nation"" transcripts, August 26, 2012: Rubio, Priebus, Barbour, Blackburn",1
2011-2012 Wisconsin Legislature Documents,1
"David Plouffe, Sen. Joe Lieberman and Gen. Michael Hayden talk national security leaks",1
U.S. Imports & Exports,1
Transcripts,1
"In reversal, McCain says lift ban on offshore drilling",1
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",1
'This Week' Transcript: Odierno and Chiarelli,1
Obama’s Prime-Time Press Briefing,1
"Author Offers Insights on Slavery, the Capitol, and Obama's Inauguration",1
American International Group Inc Form 10K,1
Remarks by the President at AFL CIO Labor Day Picnic,1
REP. JENKINS: OPIOID CRISIS FUNDING SHOULD BE BASED ON NEED,1
Remarks by the First Lady on What Health Insurance Reform Means for Women and Families,1
and Surpluses or Deficits as Percentages of GDP 1930–2015,1
Planned Parenthood® Action Center,1
Transcripts,1
CBOs Estimate of the Effects on Direct Spending and Revenues of the House Amendments to the Senate Amendments to HR 976 the Childrens Health Insurance Program Reauthorization Act of 2007,1
Remarks of Senator Obama: The War We Need to Win,1
Library of Congress,1
'This Week' Transcript: Geithner,1
"Obama for America TV Ad: ""Firms""",1
The Colbert Report,1
Stop Coddling the Super-Rich,1
Did Bernie Sanders vote against background checks and waiting periods for gun purchases?,1
Families Facing Tax Increases Under Trump's Tax Plan,1
Report on Geithners tax issues,1
Senate begins health care debate amid calls for tort reforms,1
Updated: The Facts About Hillary Clinton’s Emails,1
Rand Paul: Republicans 'Aren't Maybe Brave Enough' to Tackle Deficit,1
Sen. Sanders warns of ‘frightening trend’ towards oligarchy,1
The latest political news and headlines from D.C. and beyond,1
The Democratic Debate in Cleveland,1
Rick Perry says he switched to GOP at a younger age than Reagan did,1
"Hillary Rodham Clinton, Senator for New York: Schumer, Clinton Announce Key Senate Panel Approves Over $1.3 Million for Labor, Health and Human Services Projects in the Hudson Valley",1
Senator Bernie Sanders on Democratic Socialism in the United States,1
"The CNN Miami Republican debate transcript, annotated",1
Barack Obama says U.S. oil production last year was highest since 2003,1
Survey Results from Hays Research Group,1
The Budget and Economic Outlook: Fiscal Years 2009 to 2019,1
testimony submitted to the Congressional Oversight Panel’s hearing on the TARPs impact on financial stability,1
"Remarks by the President on the Economy -- Knox College, Galesburg, IL",1
The Daily Show with Trevor Noah,1
Historical aggregate income by fifths and top 5 percent,1
"IMPEACHMENT HINT STIRS HOUSE CLASH; Democratic Orators Spring to Roosevelt Defense, Charging 'Malice.'",1
The Obameter: Introduce a comprehensive immigration bill in the first year,1
"Trump asking Congress, not Mexico, to pay for border wall",1
Flake: “Religious tests should have no place in the Senate”,1
Change We Can Believe In,1
deputy director of national health statistics in the Office of the Actuary at the Center for Medicare and Medicaid Services,1
Romneys ProLife Conversion Myth or Reality June 14,1
Interest Group Ratings,1
